"roast"|"word"|"score"
"Light"|"hazelnut"|"5.94"
"Light"|"brandyish"|"5.93"
"Medium-Light"|"zest"|"5.93"
"Medium-Dark"|"cream"|"5.88"
"Light"|"outlast"|"5.86"
"Light"|"tangy"|"5.86"
"Medium-Light"|"pecan"|"5.85"
"Medium-Dark"|"dusk"|"5.85"
"Medium-Dark"|"simplify"|"5.83"
"Medium"|"berry"|"5.81"
"Medium-Light"|"tea"|"5.81"
"Light"|"layer"|"5.8"
"Medium-Dark"|"explicit"|"5.79"
"Medium"|"tone"|"5.77"
"Medium"|"cocoaish"|"5.77"
"Medium-Light"|"mandarin"|"5.76"
"Medium"|"apricot"|"5.75"
"Light"|"honeyish"|"5.75"
"Light"|"blossom"|"5.75"
"Medium"|"blackberry"|"5.74"
"Light"|"shadow"|"5.74"
"Medium-Light"|"night"|"5.74"
"Medium-Dark"|"continuing"|"5.73"
"Medium-Dark"|"charred"|"5.72"
"Medium-Dark"|"agreeable"|"5.72"
"Medium-Dark"|"best"|"5.72"
"Medium-Dark"|"wendy"|"5.72"
"Medium-Dark"|"jong"|"5.72"
"Light"|"dried"|"5.7"
"Medium-Dark"|"forward"|"5.69"
"Medium-Light"|"plum"|"5.65"
"Medium"|"bloom"|"5.62"
"Light"|"mint"|"5.62"
"Light"|"ferment"|"5.62"
"Medium"|"acid"|"5.61"
"Medium"|"soften"|"5.6"
"Light"|"general"|"5.6"
"Light"|"vanilla"|"5.59"
"Light"|"lilac"|"5.58"
"Light"|"baker"|"5.58"
"Medium"|"distinct"|"5.57"
"Medium-Dark"|"dominating"|"5.54"
"Medium-Dark"|"chocolaty"|"5.51"
"Medium-Dark"|"balance"|"5.51"
"Light"|"persistence"|"5.49"
"Light"|"cherryish"|"5.48"
"Medium-Light"|"exotic"|"5.48"
"Medium"|"complication"|"5.47"
"Medium-Light"|"refreshing"|"5.47"
"Medium-Light"|"complexity"|"5.44"
"Medium-Light"|"vivacious"|"5.43"
"Light"|"opulent"|"5.38"
"Medium-Light"|"original"|"5.38"
"Light"|"striking"|"5.36"
"Medium"|"stachura"|"5.35"
"Medium-Light"|"orangy"|"5.32"
"Medium-Dark"|"version"|"5.3"
"Medium-Dark"|"touch"|"5.3"
"Medium"|"cupper"|"5.29"
"Medium-Light"|"sandalwood"|"5.28"
"Medium-Light"|"gentle"|"5.27"
"Light"|"pineapple"|"5.25"
"Light"|"profound"|"5.15"
"Light"|"cider"|"5.15"
"Light"|"white"|"5.14"
"Medium"|"impressive"|"5.12"
"Medium"|"t"|"5.09"
"Medium-Dark"|"fine"|"5.09"
"Medium-Dark"|"intensity"|"5.09"
"Medium-Light"|"moist"|"5.03"
"Medium-Dark"|"edge"|"5.02"
"Medium"|"herb"|"5.01"
"Medium-Light"|"effervescent"|"5.0"
"Medium-Dark"|"quite"|"5.0"
"Medium-Light"|"nuanced"|"4.99"
"Medium-Dark"|"tomato"|"4.99"
"Medium-Light"|"elegant"|"4.98"
"Light"|"meadow"|"4.95"
"Light"|"subtly"|"4.95"
"Medium-Light"|"thyme"|"4.92"
"Medium-Light"|"lasting"|"4.92"
"Medium-Light"|"velvety"|"4.91"
"Medium-Dark"|"great"|"4.86"
"Light"|"sustain"|"4.83"
"Light"|"ring"|"4.83"
"Medium"|"little"|"4.81"
"Medium"|"complement"|"4.81"
"Medium"|"read"|"4.81"
"Medium-Dark"|"kohmescher"|"4.8"
"Medium-Dark"|"date"|"4.8"
"Medium-Dark"|"quality"|"4.8"
"Medium-Dark"|"clear"|"4.8"
"Medium-Dark"|"sean"|"4.8"
"Medium-Dark"|"brightness"|"4.8"
"Light"|"lyrical"|"4.77"
"Medium-Light"|"distinctive"|"4.72"
"Medium"|"distract"|"4.7"
"Medium-Light"|"lavish"|"4.68"
"Medium"|"dominated"|"4.66"
"Medium"|"berries"|"4.65"
"Medium-Light"|"bracing"|"4.65"
"Medium"|"complicating"|"4.64"
"Light"|"faint"|"4.6"
"Light"|"just"|"4.6"
"Medium-Light"|"especially"|"4.6"
"Medium-Light"|"explosive"|"4.6"
"Medium-Light"|"kumquat"|"4.6"
"Medium-Light"|"marmalade"|"4.6"
"Medium-Light"|"wisteria"|"4.6"
"Medium-Light"|"exhilarating"|"4.59"
"Medium"|"stone"|"4.58"
"Medium"|"structure"|"4.58"
"Medium-Light"|"shifting"|"4.56"
"Medium-Light"|"high"|"4.56"
"Medium-Light"|"unusual"|"4.56"
"Medium-Dark"|"continue"|"4.56"
"Medium-Dark"|"pepper"|"4.56"
"Medium"|"did"|"4.5"
"Medium"|"penetrating"|"4.49"
"Medium-Light"|"leaves"|"4.49"
"Medium-Light"|"musk"|"4.49"
"Medium"|"retain"|"4.47"
"Medium"|"refined"|"4.47"
"Medium-Light"|"cinnamon"|"4.45"
"Medium"|"remain"|"4.44"
"Medium"|"superb"|"4.44"
"Medium-Light"|"bergamot"|"4.42"
"Medium"|"laced"|"4.41"
"Medium"|"remark"|"4.41"
"Medium"|"classic"|"4.41"
"Medium-Light"|"prairie"|"4.4"
"Light"|"depth"|"4.39"
"Medium-Dark"|"sweeter"|"4.35"
"Medium-Light"|"giddy"|"4.32"
"Medium-Light"|"kiwi"|"4.32"
"Medium-Light"|"honeydew"|"4.32"
"Medium-Light"|"surface"|"4.32"
"Medium"|"weight"|"4.28"
"Medium-Light"|"express"|"4.27"
"Medium"|"tight"|"4.21"
"Medium"|"lime"|"4.2"
"Medium-Light"|"pear"|"4.19"
"Medium-Light"|"raspberry"|"4.18"
"Medium"|"tendencies"|"4.16"
"Medium"|"deeper"|"4.15"
"Medium-Light"|"far"|"4.14"
"Medium"|"butterscotch"|"4.11"
"Light"|"red"|"4.11"
"Medium-Light"|"remarkably"|"4.1"
"Medium-Light"|"simultaneously"|"4.1"
"Medium-Light"|"mushroom"|"4.1"
"Medium-Light"|"array"|"4.09"
"Medium-Light"|"bark"|"4.09"
"Medium-Light"|"highlighted"|"4.09"
"Medium-Light"|"combining"|"4.07"
"Medium-Light"|"tamarind"|"4.07"
"Medium-Light"|"sage"|"4.07"
"Medium-Light"|"perfect"|"4.07"
"Medium-Light"|"lasts"|"4.07"
"Light"|"richness"|"4.05"
"Medium"|"sample"|"4.03"
"Medium"|"texture"|"4.03"
"Medium"|"fading"|"4.0"
"Medium"|"pine"|"3.99"
"Medium"|"nutty"|"3.99"
"Medium-Dark"|"way"|"3.98"
"Medium-Light"|"complicate"|"3.96"
"Medium"|"simplifies"|"3.95"
"Medium-Light"|"grand"|"3.93"
"Medium-Light"|"engaging"|"3.89"
"Medium-Light"|"think"|"3.89"
"Medium"|"assertive"|"3.87"
"Medium"|"underlying"|"3.87"
"Medium-Light"|"oak"|"3.86"
"Medium"|"menthol"|"3.85"
"Medium"|"stiffen"|"3.85"
"Medium"|"inclined"|"3.85"
"Light"|"leather"|"3.83"
"Medium-Light"|"extraordinarily"|"3.83"
"Medium-Light"|"anchored"|"3.83"
"Medium-Light"|"intriguing"|"3.83"
"Medium-Dark"|"persistent"|"3.82"
"Medium-Light"|"functional"|"3.8"
"Medium"|"carnal"|"3.78"
"Medium"|"association"|"3.78"
"Medium"|"lovely"|"3.78"
"Medium"|"balancing"|"3.73"
"Medium"|"prominent"|"3.73"
"Medium"|"baking"|"3.69"
"Medium-Dark"|"musty"|"3.67"
"Medium-Dark"|"enveloped"|"3.67"
"Medium"|"bitterish"|"3.6"
"Medium-Light"|"lightish"|"3.6"
"Medium-Light"|"tendency"|"3.6"
"Medium"|"straight"|"3.59"
"Medium"|"reemerging"|"3.58"
"Medium"|"different"|"3.58"
"Medium"|"combine"|"3.58"
"Medium-Light"|"giddily"|"3.58"
"Medium"|"textured"|"3.57"
"Medium"|"process"|"3.57"
"Medium"|"extraordinary"|"3.57"
"Medium"|"passion"|"3.57"
"Medium"|"nose"|"3.57"
"Medium"|"prevail"|"3.57"
"Medium-Light"|"fallen"|"3.53"
"Medium-Light"|"juniper"|"3.52"
"Medium-Light"|"structured"|"3.49"
"Medium"|"sharp"|"3.48"
"Medium"|"sort"|"3.44"
"Medium"|"fragrant"|"3.41"
"Medium-Light"|"relatively"|"3.39"
"Medium-Light"|"edged"|"3.39"
"Medium-Light"|"taste"|"3.39"
"Medium"|"peel"|"3.38"
"Medium"|"grow"|"3.38"
"Medium"|"ranging"|"3.38"
"Medium"|"suave"|"3.36"
"Medium"|"finds"|"3.36"
"Medium"|"kenya"|"3.36"
"Medium"|"temperate"|"3.32"
"Medium-Dark"|"shimmer"|"3.3"
"Medium-Light"|"extend"|"3.28"
"Medium-Light"|"supple"|"3.28"
"Medium-Light"|"wild"|"3.28"
"Medium-Light"|"mulberry"|"3.28"
"Medium-Light"|"current"|"3.24"
"Medium-Light"|"clover"|"3.24"
"Medium-Light"|"mineral"|"3.24"
"Medium"|"descriptor"|"3.21"
"Medium"|"add"|"3.21"
"Medium"|"head"|"3.21"
"Medium-Light"|"dense"|"3.21"
"Medium"|"displaying"|"3.15"
"Medium"|"understated"|"3.15"
"Medium"|"smoothes"|"3.15"
"Medium"|"somewhat"|"3.15"
"Medium"|"called"|"3.08"
"Medium"|"impact"|"3.08"
"Medium"|"classically"|"3.08"
"Medium"|"lift"|"3.08"
"Medium"|"mute"|"3.08"
"Medium"|"better"|"3.08"
"Medium"|"soaring"|"3.08"
"Medium"|"mid"|"3.08"
"Medium"|"enjoyed"|"3.08"
"Medium"|"exceptional"|"3.08"
"Medium"|"probably"|"3.08"
"Medium"|"brightening"|"3.08"
"Medium"|"qualities"|"3.08"
"Medium"|"decisive"|"3.08"
"Medium-Light"|"discreetly"|"3.07"
"Medium-Light"|"harmonious"|"3.07"
"Medium-Light"|"inflected"|"3.07"
"Medium-Light"|"exotically"|"3.07"
"Medium-Light"|"described"|"3.07"
"Medium-Light"|"raw"|"3.07"
"Medium-Light"|"peppercorn"|"3.07"
"Medium-Light"|"amazingly"|"3.07"
"Medium-Light"|"enriched"|"3.07"
"Medium-Light"|"gardenia"|"3.07"
"Medium-Light"|"reynolds"|"3.05"
"Medium-Light"|"natural"|"3.05"
"Medium-Light"|"jim"|"3.05"
"Medium-Light"|"rating"|"3.05"
"Medium"|"integrated"|"3.01"
"Medium-Light"|"knit"|"2.95"
"Medium-Light"|"port"|"2.88"
"Medium-Light"|"plump"|"2.88"
"Medium-Light"|"grain"|"2.88"
"Medium-Light"|"run"|"2.88"
"Medium"|"excellent"|"2.87"
"Medium"|"fat"|"2.87"
"Medium"|"flawless"|"2.87"
"Medium"|"rounder"|"2.87"
"Medium"|"riesling"|"2.87"
"Medium"|"dominant"|"2.87"
"Medium"|"eucalyptus"|"2.87"
"Medium"|"wet"|"2.87"
"Medium"|"jennifer"|"2.87"
"Medium"|"luxurious"|"2.87"
"Medium"|"restrained"|"2.87"
"Medium-Light"|"conventional"|"2.85"
"Medium-Light"|"lighter"|"2.85"
"Medium-Light"|"cumin"|"2.85"
"Medium-Light"|"make"|"2.85"
"Medium-Light"|"candyish"|"2.85"
"Medium-Light"|"takes"|"2.85"
"Medium-Light"|"similar"|"2.85"
"Medium-Light"|"cacoa"|"2.85"
"Medium"|"entire"|"2.84"
"Medium"|"grace"|"2.84"
"Medium"|"bay"|"2.84"
"Medium"|"precious"|"2.84"
"Medium"|"stretch"|"2.84"
"Medium"|"utterly"|"2.84"
"Medium"|"style"|"2.81"
"Medium"|"immense"|"2.81"
"Medium"|"essential"|"2.81"
"Medium-Light"|"stays"|"2.72"
"Medium-Light"|"persuasively"|"2.72"
"Medium-Light"|"crispness"|"2.72"
"Medium-Light"|"clove"|"2.72"
"Medium-Light"|"concentrated"|"2.72"
"Medium-Light"|"cranberry"|"2.72"
"Medium"|"dessert"|"2.68"
"Medium"|"infused"|"2.68"
"Medium"|"mediterranean"|"2.68"
"Medium"|"active"|"2.68"
"Medium"|"enveloping"|"2.68"
"Medium"|"grapy"|"2.68"
"Medium"|"account"|"2.68"
"Medium"|"performance"|"2.68"
"Medium"|"concord"|"2.68"
"Medium"|"kind"|"2.68"
"Medium"|"depending"|"2.68"
"Medium"|"peaches"|"2.68"
"Medium"|"amplify"|"2.68"
"Medium"|"perfumy"|"2.68"
"Medium"|"thinnish"|"2.68"
"Medium"|"various"|"2.68"
"Medium"|"higher"|"2.68"
"Medium"|"decaffeination"|"2.68"
"Medium"|"berryish"|"2.68"
"Medium"|"clay"|"2.68"
"Medium"|"impressed"|"2.68"
"Medium"|"associated"|"2.68"
"Medium"|"intrigue"|"2.68"
"Medium"|"lucid"|"2.68"
"Medium"|"finally"|"2.68"
"Medium-Light"|"cherries"|"2.64"
"Medium-Light"|"substantial"|"2.64"
"Medium-Light"|"lychee"|"2.64"
"Medium-Light"|"fruitiness"|"2.64"
"Medium-Light"|"resolve"|"2.64"
"Medium-Light"|"key"|"2.64"
"Medium-Light"|"moment"|"2.64"
"Medium-Light"|"alive"|"2.64"
"Medium-Light"|"cashew"|"2.64"
"Medium"|"hot"|"2.52"
"Medium"|"overripe"|"2.52"
"Medium"|"broaden"|"2.49"
"Medium"|"contributes"|"2.49"
"Medium"|"description"|"2.49"
"Medium"|"fundamental"|"2.49"
"Medium"|"ethiopia"|"2.49"
"Medium"|"related"|"2.49"
"Medium"|"slow"|"2.49"
"Medium"|"dampening"|"2.49"
"Medium"|"theme"|"2.49"
"Medium"|"easy"|"2.49"
"Medium"|"felt"|"2.49"
"Medium-Light"|"despite"|"2.46"
"Medium-Light"|"pie"|"2.46"
"Medium-Light"|"meyer"|"2.46"
"Medium-Light"|"authoritative"|"2.46"
"Medium"|"tartness"|"2.38"
"Medium"|"overall"|"2.31"
"Medium"|"drop"|"2.31"
"Medium"|"additional"|"2.31"
"Medium"|"winy"|"2.31"
"Medium"|"finding"|"2.31"
"Medium"|"symphonic"|"2.31"
"Medium"|"brandied"|"2.31"
"Medium"|"crisper"|"2.31"
"Medium"|"liked"|"2.31"
"Medium"|"disappointing"|"2.31"
"Medium"|"does"|"2.31"
"Medium-Light"|"fig"|"2.3"
"Medium-Light"|"cantaloupe"|"2.3"
"Medium-Light"|"expression"|"2.3"
"Medium-Light"|"exquisite"|"2.16"
"Medium-Light"|"voluptuous"|"2.16"
"Medium"|"taking"|"2.15"
"Medium"|"blackcurrant"|"2.15"
"Medium-Light"|"settle"|"2.04"
"Medium-Light"|"nuttiness"|"2.04"
"Medium"|"main"|"2.01"
"Medium"|"poised"|"2.01"
"Medium"|"lead"|"2.01"
"Medium"|"cardamom"|"1.89"
"Medium"|"intensify"|"1.89"
